"Código
da
variável",descrição,Tipo ,Descrição
V0001,Unidade da Federação,11,Rondônia
V0001,Unidade da Federação,12,Acre
V0001,Unidade da Federação,13,Amazonas
V0001,Unidade da Federação,14,Roraima
V0001,Unidade da Federação,15,Pará
V0001,Unidade da Federação,16,Amapá
V0001,Unidade da Federação,17,Tocantins
V0001,Unidade da Federação,21,Maranhão
V0001,Unidade da Federação,22,Piauí
V0001,Unidade da Federação,23,Ceará
V0001,Unidade da Federação,24,Rio Grande do Norte
V0001,Unidade da Federação,25,Paraíba
V0001,Unidade da Federação,26,Pernambuco
V0001,Unidade da Federação,27,Alagoas
V0001,Unidade da Federação,28,Sergipe
V0001,Unidade da Federação,29,Bahia
V0001,Unidade da Federação,31,Minas Gerais
V0001,Unidade da Federação,32,Espírito Santo
V0001,Unidade da Federação,33,Rio de Janeiro
V0001,Unidade da Federação,35,São Paulo
V0001,Unidade da Federação,41,Paraná
V0001,Unidade da Federação,42,Santa Catarina
V0001,Unidade da Federação,43,Rio Grande do Sul
V0001,Unidade da Federação,50,Mato Grosso do Sul
V0001,Unidade da Federação,51,Mato Grosso
V0001,Unidade da Federação,52,Goiás
V0001,Unidade da Federação,53,Distrito Federal
M005,"Em algum dos seus trabalhos, o(a) Sr(a) trabalha em horário noturno?",1,Sim
M005,"Em algum dos seus trabalhos, o(a) Sr(a) trabalha em horário noturno?",2,Não
M005,"Em algum dos seus trabalhos, o(a) Sr(a) trabalha em horário noturno?",,Não aplicável
M007," Em algum dos seus trabalhos, o(a) Sr(a) trabalha(va) em regime de turnos ininterruptos, isto é, por 24 horas seguidas",1,Sim
M007," Em algum dos seus trabalhos, o(a) Sr(a) trabalha(va) em regime de turnos ininterruptos, isto é, por 24 horas seguidas",2,Não
M007," Em algum dos seus trabalhos, o(a) Sr(a) trabalha(va) em regime de turnos ininterruptos, isto é, por 24 horas seguidas",,Não aplicável
M008, Com que frequência o(a) Sr(a) trabalha(va) por 24 horas seguidas,1,Menos de 1 vez por mês
M008, Com que frequência o(a) Sr(a) trabalha(va) por 24 horas seguidas,2,1 a 3 vezes por mês
M008, Com que frequência o(a) Sr(a) trabalha(va) por 24 horas seguidas,3,1 vez por semana 
M008, Com que frequência o(a) Sr(a) trabalha(va) por 24 horas seguidas,4,2 a 3 vezes por semana
M008, Com que frequência o(a) Sr(a) trabalha(va) por 24 horas seguidas,5,4 vezes por semana
M008, Com que frequência o(a) Sr(a) trabalha(va) por 24 horas seguidas,6,5 vezes ou mais por semana
M008, Com que frequência o(a) Sr(a) trabalha(va) por 24 horas seguidas,,Não aplicável
M010,"Pensando em todos os seus trabalhos, durante os últimos 30 dias, alguém fumou em algum ambiente fechado onde o(a) Sr(a) trabalha?",1,Sim
M010,"Pensando em todos os seus trabalhos, durante os últimos 30 dias, alguém fumou em algum ambiente fechado onde o(a) Sr(a) trabalha?",2,Não
M010,"Pensando em todos os seus trabalhos, durante os últimos 30 dias, alguém fumou em algum ambiente fechado onde o(a) Sr(a) trabalha?",,Não aplicável
M01101,"Pensando em todos os seus trabalhos, o(a) Sr(a) está exposto(a) a manuseio de substâncias químicas que podem afetar a sua saúde? ",1,Sim
M01101,"Pensando em todos os seus trabalhos, o(a) Sr(a) está exposto(a) a manuseio de substâncias químicas que podem afetar a sua saúde? ",2,Não
M01101,"Pensando em todos os seus trabalhos, o(a) Sr(a) está exposto(a) a manuseio de substâncias químicas que podem afetar a sua saúde? ",,Não aplicável
M01102,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição a ruído (barulho intenso) que pode afetar a sua saúde? ",1,Sim
M01102,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição a ruído (barulho intenso) que pode afetar a sua saúde? ",2,Não
M01102,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição a ruído (barulho intenso) que pode afetar a sua saúde? ",,Não aplicável
M01103,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição longa ao sol que pode afetar a sua saúde? ",1,Sim
M01103,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição longa ao sol que pode afetar a sua saúde? ",2,Não
M01103,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição longa ao sol que pode afetar a sua saúde? ",,Não aplicável
M01104,"Pensando em todos os seus trabalhos, o(a) Sr(a) está  exposto(a) a manuseio de material radioativo (transporte, recebimento, armazenagem, trabalho com raio-x) que pode afetar a sua saúde?",1,Sim
M01104,"Pensando em todos os seus trabalhos, o(a) Sr(a) está  exposto(a) a manuseio de material radioativo (transporte, recebimento, armazenagem, trabalho com raio-x) que pode afetar a sua saúde?",2,Não
M01104,"Pensando em todos os seus trabalhos, o(a) Sr(a) está  exposto(a) a manuseio de material radioativo (transporte, recebimento, armazenagem, trabalho com raio-x) que pode afetar a sua saúde?",,Não aplicável
M01105,"Pensando em todos os seus trabalhos, o(a) Sr(a) está  exposto(a) a manuseio de resíduos urbanos (lixo) que podem afetar a sua saúde?",1,Sim
M01105,"Pensando em todos os seus trabalhos, o(a) Sr(a) está  exposto(a) a manuseio de resíduos urbanos (lixo) que podem afetar a sua saúde?",2,Não
M01105,"Pensando em todos os seus trabalhos, o(a) Sr(a) está  exposto(a) a manuseio de resíduos urbanos (lixo) que podem afetar a sua saúde?",,Não aplicável
M01106,"Pensando em todos os seus trabalhos, o(a) Sr(a) está envolvido(a) em atividades que levam ao nervosismo que podem afetar a sua saúde?",1,Sim
M01106,"Pensando em todos os seus trabalhos, o(a) Sr(a) está envolvido(a) em atividades que levam ao nervosismo que podem afetar a sua saúde?",2,Não
M01106,"Pensando em todos os seus trabalhos, o(a) Sr(a) está envolvido(a) em atividades que levam ao nervosismo que podem afetar a sua saúde?",,Não aplicável
M01107,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição a material biológico (sangue, agulhas, secreções) que podem afetar a sua saúde?",1,Sim
M01107,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição a material biológico (sangue, agulhas, secreções) que podem afetar a sua saúde?",2,Não
M01107,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição a material biológico (sangue, agulhas, secreções) que podem afetar a sua saúde?",,Não aplicável
M01108,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição a poeira industrial (pó de mármore) que podem afetar a sua saúde?",1,Sim
M01108,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição a poeira industrial (pó de mármore) que podem afetar a sua saúde?",2,Não
M01108,"Pensando em todos os seus trabalhos, o(a) Sr(a) está em exposição a poeira industrial (pó de mármore) que podem afetar a sua saúde?",,Não aplicável
M01301,Há quantos anos o(a) Sr(a) está no trabalho principal?,00,-
M01301,Há quantos anos o(a) Sr(a) está no trabalho principal?,01 a 80,Anos
M01301,Há quantos anos o(a) Sr(a) está no trabalho principal?,,Não aplicável
M01302,Há quantos meses o(a) Sr(a) está no trabalho principal?,00,-
M01302,Há quantos meses o(a) Sr(a) está no trabalho principal?,01 a 11,Meses
M01302,Há quantos meses o(a) Sr(a) está no trabalho principal?,,Não aplicável
M01303,Há quantos dia o(a) Sr(a) está no trabalho principal?,00,-
M01303,Há quantos dia o(a) Sr(a) está no trabalho principal?,01 a 30,Dias
M01303,Há quantos dia o(a) Sr(a) está no trabalho principal?,,Não aplicável
M014,Com quantos familiares ou parentes o(a) Sr(a) se sente à vontade e pode falar sobre quase tudo?,00,Nenhum
M014,Com quantos familiares ou parentes o(a) Sr(a) se sente à vontade e pode falar sobre quase tudo?,01 a 98,Pessoas
M014,Com quantos familiares ou parentes o(a) Sr(a) se sente à vontade e pode falar sobre quase tudo?,,Não aplicável
M015,Com quantos amigos o(a) Sr(a) se sente à vontade e pode falar sobre quase tudo? (sem considerar os familiares ou parentes),00,Nenhum
M015,Com quantos amigos o(a) Sr(a) se sente à vontade e pode falar sobre quase tudo? (sem considerar os familiares ou parentes),01 a 98,Pessoas
M015,Com quantos amigos o(a) Sr(a) se sente à vontade e pode falar sobre quase tudo? (sem considerar os familiares ou parentes),,Não aplicável
M016,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de atividades esportivas ou artísticas em grupo?",1,Mais de uma vez por semana
M016,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de atividades esportivas ou artísticas em grupo?",2,Uma vez por semana
M016,"Nos últimos 12 meses, com que frequência o(a) Sr(a) participou de atividades esportivas ou artísticas em grupo?",3,De 2 a 3 vezes por mês
